name,address,rating,review_count
Steve's Poke Bar,8931 Cornerstone Mews,4.7,390
Steve's Poke Bar,9855 Austin Avenue #912K,4.8,174
Steve's Poke Bar,237 Nelson's Crescent,4.8,137
Steve's Poke Bar,1163 Pinetree Way #1029,4.8,297
Steve's Poke Bar,9965 152 St #4A,4.8,667
Steve's Poke Bar,10153 King George Blvd #711,4.8,94
Steve's Poke Bar,891 Great Northern Way,4.9,60
Steve's Poke Bar,2245 160 St #70,4.9,149
Steve's Poke Bar,19705 Fraser Hwy #456,4.9,138
Steve's Poke Bar,62700 S Fraser Way #62,5,55
