name,address,rating,review_count
Subway,8916 University High St Unit R6 Cornerstore Bldg,3.1,63.0
Subway,602 Clarke Rd #3,3.4,108.0
Subway,8888 University Dr Student Union,4.1,8.0
Subway,3294 Production Way #120,3.5,73.0
Subway,2900 Bainbridge Ave,4.0,205.0
Subway,2814 St Johns St #2,3.6,109.0
Subway,1066 A Austin Ave,3.7,153.0
Subway,1960 Como Lake Ave #1914,3.1,88.0
Subway,6626B E Hastings St,3.6,166.0
Subway,5093 Canada Way,3.7,74.0
Subway,400 Capilano Rd Unit 6,3.7,39.0
Subway,2251 Holdom Ave #110,3.4,143.0
Subway,323 E Columbia St Suite 319,3.7,82.0
Subway,7215 Canada Way,3.8,54.0
Subway,100 Schoolhouse St Suite # 501,4.2,107.0
SUBWAY,3650 Mt Seymour Pkwy unit 152,4.1,30.0
Subway,800 McBride Blvd Unit # 21A,4.0,135.0
Subway,4161 Hastings St Suite 102,3.3,67.0
Subway,1900 United Blvd,4.2,26.0
Subway,2662 Austin Ave Unit #9,3.5,66.0
SUBWAY,3650 Mt Seymour Pkwy unit 152,4.1,30.0
Subway,400 Capilano Rd Unit 6,3.7,39.0
Subway,2662 Austin Ave Unit #9,3.5,66.0
Subway,1410 Parkway Blvd Unit C-04,3.3,64.0
Subway,917 12th St,3.8,28.0
Subway,2455 Dollarton Hwy Unit 120,3.7,78.0
Subway,2540 Shaughnessy St Suite # 114,3.7,105.0
Subway,7155 Kingsway Suite# 110,3.1,54.0
Subway,6569 Kingsway Unit 102 B,3.5,47.0
Subway,4737 Willingdon Ave,3.5,84.0
Subway,435 Columbia St Suite 100,3.8,127.0
Subway,521 6th St,3.1,75.0
Subway,4747 Kingsway,3.7,104.0
Subway,7645 Royal Oak Ave,4.2,103.0
Subway,1895 Willingdon Ave,3.8,109.0
Subway,3790 Canada Way Suite 101,3.8,161.0
Subway,1475 Prairie Ave Suite 111B,3.6,75.0
Subway,7515 Market Crossing Suite #150,3.4,69.0
Subway,1356 Lonsdale Ave,3.6,107.0
Subway,4700 Kingsway FC7,3.1,44.0
Subway,14820 108th Street #06,3.3,161.0
Subway,10392 King George Blvd Unit A,3.6,302.0
Subway,2160 Hawkins Street,4.1,49.0
Subway,6200 McKay Ave Unit 10,3.9,223.0
Subway,107 E 3rd St,3.8,99.0
Subway,800 Carnarvon St,3.6,102.0
Subway,1971 Lougheed Hwy Unit 3150,4.0,45.0
Subway,1502 Broadway St Cru 207 #3110,3.7,91.0
Subway,1256 Lynn Valley Rd,3.7,58.0
Subway,2783 Surrey Place,3.1,38.0
Subway,6402 Victoria Dr,4.0,112.0
Subway,1005 Columbia St #120,3.5,56.0
Subway,2892 Grandview Hwy,3.9,180.0
Subway,3380 David Ave Unit 2,3.8,68.0
Subway,805 Boyd St Bldg K Unit K1,3.2,82.0
Subway,12391 Bridgeport Rd,4.3,83.0
Subway,2323 Boundary Rd #110,3.8,188.0
Subway,12355 Pattullo Pl # 103,3.7,139.0
Subway,5218 Joyce St,3.1,121.0
Subway,4429 Kingsway Unit 1B,3.9,88.0
Subway,2828 E Hastings St Unit 108,3.8,95.0
Subway,2499 Nanaimo St,3.7,60.0
Subway,2312 Kingsway,3.2,101.0
Subway,228 W Esplanade,4.0,47.0
Subway,428 Terminal Ave,3.0,43.0
Subway,3490 Kingsway Ave #1,3.9,108.0
Subway,10070 152 St Unit 164,3.6,162.0
Subway,615 E Broadway #8,3.6,106.0
Subway,846 Powell St,3.2,62.0
Subway,2569 Commercial Dr,3.7,108.0
Subway,1085 Tanaka Ct,3.4,19.0
Subway,15976 108 Ave,3.4,32.0
Subway,2079 Dundas St,2.5,134.0
Subway,1773 Kingsway,4.0,100.0
Subway,4108 Fraser St,2.5,65.0
Subway,7172 Kerr St,3.8,69.0
Subway,6191 Fraser St,3.6,146.0
Subway,10355 152 St Suite 1406,3.5,8.0
Subway,Capilano University 2055 Purcell Way Birch Bldg,1.6,5.0
Subway,7289 Knight St,3.4,68.0
Subway,333 Brooksbank Ave Unit 130,3.7,79.0
Subway,13479 108 Ave Unit 100,3.1,53.0
Subway,12842 96 Ave Unit 2,3.8,161.0
Subway,5698 Main St,3.5,65.0
Subway,1109 Main St,3.3,148.0
Subway,9500 9570 120 St Unit #9538,3.8,116.0
Subway,2827 Main St Unit 3,3.2,49.0
Subway,3026 Edgemont Blvd,3.3,71.0
Subway,98 E Broadway # 104,3.3,62.0
Subway,1034 Marine Dr,3.7,122.0
Subway,13737 96 Ave #109,3.4,84.0
Subway,139 W Hastings St,3.5,147.0
Subway,1080 Cliveden Ave Unit 10,3.5,125.0
Subway,433 W Broadway,2.9,94.0
Subway,541 Granville St,3.6,323.0
Subway,350 SE Marine Dr Unit #5,2.7,15.0
Subway,722 Smithe St,4.1,168.0
Subway,Science Building Cafeteria 170 W 49th Ave,4.0,27.0
Subway,,1.0,2.0
Subway,1696 Salt St,3.6,116.0
Subway,3297 Cambie St Unit #2,3.7,53.0
Subway,510 W Hastings St #110,3.3,25.0
Subway,12477 88 Ave Unit 7 Bldg C145,3.6,40.0
Subway,1162 Alberni St,3.5,81.0
Subway,34-601 W Cordova St Unit 0034A,3.5,65.0
Subway,700 West 6th Avenue Retail Unit D,3.4,51.0
Subway,260 Robson St,3.2,95.0
Subway,12080 Nordel Way Unit #137,3.8,124.0
Subway,15551 Fraser Hwy Suite 110,3.5,103.0
Subway,1213 Pacific Blvd,3.9,66.0
Subway,200 Burrard St Unit # Fc26,3.3,37.0
Subway,555 W 12th Ave Unit 17,2.9,34.0
Subway,1055 W Georgia St Unit 232,3.3,12.0
Subway,11146 84 Ave Suite C,3.7,90.0
Subway,820 Thurlow St,3.7,89.0
Subway,644 SW Marine Dr Unit 101,3.9,136.0
Subway,1000 Mainland St,4.1,137.0
Subway,1368 W Georgia St # 4,4.0,84.0
Subway,1055 Canada Pl Unit 32,3.9,126.0
Subway,474 SW Marine Dr,3.9,208.0
Subway,13578 88 Ave Unit #116,3.7,171.0
Subway,1046 Davie St,3.4,112.0
Subway,1255 Granville Street Granville / Davie,3.6,73.0
Subway,1095 Hornby St,4.0,49.0
Subway,4777 Mcclelland Rd #1530,3.3,36.0
Subway,8555 Sea Island Way Unit 130,3.8,164.0
Subway,7750 128 St #101,3.9,70.0
Subway,838 Davie St,4.1,87.0
Subway,15905 Fraser Hwy Suite 103,3.7,127.0
Subway,3890 Oak St,3.6,91.0
Subway,1725 Robson St Suite 3,3.3,60.0
Subway,1288 W Broadway,3.4,54.0
Subway,7351 120 St,3.9,323.0
Subway,8050 King George Blvd Unit 101A,4.0,96.0
Subway,7900 Westminster Hwy #101,3.7,106.0
Subway,19186 96 Ave,3.7,28.0
Subway,7950 Huston Rd Unit 101,3.1,52.0
Subway,1807 Burrard St #101,3.7,138.0
Subway,19862 96 Ave Unit 8,4.0,67.0
Subway,13245 72 Ave Suite 103,3.8,120.0
Subway,1499A Marine Dr,3.4,99.0
Subway,7031 120 St Unit 7059,3.7,64.0
Subway,15122 72 Ave #111,3.4,89.0
Subway,7350 120 St,4.1,71.0
SFU Subway at Mackenzie cafe,8888 University Dr W,,
Subway,2640 Arbutus St,3.5,106.0
Subway,7218 Progress Way Unit 1A,3.7,132.0
Subway,20522 Lougheed Hwy,4.0,143.0
Subway,13745 72 Ave Unit 120A,4.1,113.0
Subway,1-2801 W 16th Ave,3.6,86.0
Subway,Sports & Entertainment Complex 14331 Entertainment Blvd,3.1,106.0
Subway,7550 King George Blvd Unit #4,4.1,57.0
Subway,10111 No. 3 Rd #134,4.0,102.0
Subway,Fc-2 Yvr West Chevron Expansio,3.6,277.0
Subway,19188 72 Ave Unit 106,3.2,42.0
SUBWAY,1083 East Kent Ave N #109A,,
Subway,17755 64 Ave Suite #101,3.8,111.0
Subway,6421 Scott Rd,3.6,55.0
Subway,15141 Hwy #10 Unit D-101 Phase I,3.7,145.0
Subway,6468 King George Blvd,3.5,84.0
Subway,17700 56 Ave Unit # A-103,3.6,60.0
Subway,#102 14370 64 Ave Suite 101,3.7,122.0
Subway,Unit 105 3675 Westminster Hwy Suite A,3.1,28.0
Subway,7150 200 St Suite #200,3.8,54.0
Subway,Domestic Terminal 3380 Grant McConachie Way Level 3,,
Quiznos,2580 Commercial Dr,4.1,101.0
Subway,8671 No 1 Rd Unit 6,3.4,70.0
Subway,19705 Fraser Hwy Unit 436,3.4,41.0
Subway,20202 66 Ave,3.8,108.0
Subway,5958 200 St,4.2,146.0
Subway,11900 Haney Place Unit #F5,4.1,14.0
