name,address,rating,review_count
Taco Bell,2929 Barnet Hwy Unit 2604,2.7,35
Taco Bell,2991 Lougheed Hwy,2.5,153
Taco Bell,8737 120 St,3.1,318
Taco Bell,9056 152 St,3.1,156
Taco Bell,13577 73 Ave,3.3,139
Taco Bell,17740 BC-10,3.4,99
Taco Bell,19971 64 Ave,3.0,239
Taco Bell,5720 Barrett Rd,4.0,270
Taco Bell,100 E Stuart Rd,3.7,990
Taco Bell,1297 E Sunset Dr,3.6,852
Taco Bell,45367 Luckakuck Way,3.0,290
Taco Bell,6896 Island Hwy N,3.3,387
Taco Bell,1308 S Burlington Blvd,4.0,468
Taco Bell,217 E College Way,3.9,795
Taco Bell,32780 WA-20,3.9,742
