name,address,rating,review_count
The Keg Steakhouse + Bar - Burnaby,4510 Still Creek Ave,4.3,2108
The Keg Steakhouse + Bar - Coquitlam,2991 Lougheed Hwy Unit 130,4.3,972
The Keg Steakhouse + Bar - Alberni,1121 Alberni St,4.4,1489
The Keg Steakhouse and Bar,1011 Mainland St,4.4,1676
The Keg Steakhouse + Bar - Dunsmuir,688 Dunsmuir St,4.3,1874
The Keg Steakhouse + Bar - Scott Road,7948 120 St,4.3,1147
The Keg Steakhouse + Bar - Granville Island,1499 Anderson St,4.2,1400
The Keg Steakhouse + Bar - Park Royal,731 Main St Unit 110,4.3,347
The Keg Steakhouse + Bar - Richmond South,11151 No 5 Rd,4.1,1041
The Keg Steakhouse + Bar - Langley,9020 202 St,4.3,1298
The Keg Steakhouse + Bar - Maple Ridge,20640 Dewdney Trunk Rd,4.4,1650
The Keg Steakhouse + Bar - Morgan Creek,15180 32nd Avenue Diversion,4.3,902
