name,address,rating,review_count
Tim Hortons,9055 University High St,3.1,186
Tim Hortons,8888 University Dr E,3.6,283
Tim Hortons,3433 North Rd Unit 101,3.5,365
Tim Hortons,9855 Austin Rd Unit 150,3.5,536
Tim Hortons,3965 North Rd,2.8,65
Tim Hortons,7089 Lougheed Hwy,3.5,189
Tim Hortons,101-955 Austin Ave,3.6,620
Tim Hortons,5059 Canada Way,3.5,88
Tim Hortons,330 E Columbia St,3.6,142
Tim Hortons,1701 Austin Ave,3.3,53
Tim Hortons,715 McBride Blvd,3.9,14
Tim Hortons,3700 Willingdon Ave,3.4,198
Tim Hortons,4567 Lougheed Hwy,3.2,116
Tim Hortons,4512 Lougheed Hwy,3.3,134
Tim Hortons,6641 Kingsway,3.8,933
Tim Hortons,4444 Kingsway,3.4,76
Tim Hortons,780 6th St,3.6,170
Tim Hortons,6200 McKay Ave Unit 10,3.8,747
Tim Hortons,1450 United Blvd,3.3,882
Tim Hortons,103 Ioco Rd,3.5,52
Tim Hortons,1450 United Blvd,3.3,882
Tim Hortons,7380 Market Crossing Marine Way,3.5,699
Tim Hortons,780 6th St,3.6,170
Tim Hortons,10390 120 St,3.6,689
Tim Hortons,10416 King George Blvd,3.3,216
Tim Hortons,3451 Kingsway,3.5,472
Tim Hortons,5055 Joyce St Unit 150,3.6,850
Tim Hortons,8607 Glenlyon Pkwy,3.5,379
Tim Hortons,3720 Imperial St,3.5,32
Tim Hortons,3025 Lougheed Hwy Unit 650,3.0,557
Tim Hortons,10153 King George Blvd Unit 2443,4.0,807
Tim Hortons,805 Boyd St,3.3,614
Tim Hortons,2889 E 12th Ave,3.8,614
Tim Hortons,700 Royal Ave Level 2 - Room 2400,2.6,30
Tim Hortons,1635 Commercial Dr,3.5,304
Tim Hortons,1384 Main St,3.6,561
Tim Hortons,194 Riverside Dr W,3.4,265
Tim Hortons,4064 Fraser St,3.2,65
tim hortons,4820 Kingsway Unit 320,2.3,4
Tim Hortons,2001 Kingsway,3.5,123
Tim Hortons,9595 King George Blvd,3.8,1384
Tim Hortons,2801 E Hastings St Unit #1,3.8,118
Tim Hortons,Towne Centre #1011 10355 152 St Unit 1011,4.0,333
Tim Hortons,12467 88 Ave,3.6,457
Tim Hortons,Esso Otr 2177 Dollarton Hwy,3.4,79
Tim Hortons,5896 Fraser St,3.9,519
Tim Hortons,Surrey Memorial Hospital East Entrance,3.7,14
Tim Hortons,2090 Lougheed Hwy,3.5,97
Tim Hortons,10320 152 St,3.9,679
Tim Hortons,1359 Cliveden Ave,3.3,321
Tim Hortons,1509 Lonsdale Ave,3.6,356
Tim Hortons,15551 Fraser Hwy Unit 101,3.9,898
Tim Hortons,2929 Barnet Hwy Unit 1206,3.2,201
