name,address,rating,review_count
WINGS Coquitlam,345 North Rd,3.7,919
WINGS Burnaby,6879 Kingsway,3.7,957
Wild Wing,6501 Sprott St,2.2,5
WINGS Granville,1162 Granville St,3.7,717
Wild Wing,2411 Mt Seymour Pkwy,3.0,4
WINGS Surrey,7124 King George Blvd,3.8,756
Wild Wing,7322 King George Blvd #115,3.9,714
Polly Pokinos Gourmet Wings,1410 Parkway Blvd C08,4.0,32
Woody's Pub on Brunette,935 Brunette Ave,4.1,1505
Pizza Hut,Simon Fraser University 8917 Cornerstone Mews,4.0,118
Omega Pizza & Wings - Port Coquitlam,2283 McAllister Ave,4.0,158
Pizza Factory Coquitlam,565 Clarke Rd,4.1,239
Fatburger Coquitlam,1090 Lougheed Hwy #114,4.1,849
Buffalo's World Famous Wings,,4.5,2
Omega Pizza & Wings - North Surrey,9965 152 St #5,4.1,178
WINGS Langley,19696 Fraser Hwy,3.9,532
WINGS Richmond,11080 No 5 Rd #110,3.9,248
Wild Wing,6339 200 St #806,3.7,289
Wah Wing Szechuan Restaurant,2748 Lougheed Hwy,4.2,300
Omega Pizza & Wings - Newton,7577 King George Blvd,4.1,274
