name,address,rating,review_count
White Spot North Road,4075 North Rd,4.0,1333
White Spot Kensington,6500 Hastings St,4.0,752
White Spot Metrotown,5550 Kingsway,4.0,1150
White Spot New Westminster,610 6th St #134,4.0,671
White Spot Coquitlam,500-3025 Lougheed Hwy,4.0,901
White Spot Gilmore,4129 Lougheed Hwy,3.9,1274
White Spot Central City,13580 102 Ave,3.9,881
White Spot Port Coquitlam,2310 Ottawa St,3.8,655
White Spot Guildford,10181 152 St,3.8,854
White Spot Kingsway,1476 Kingsway,4.1,1098
White Spot Marine Drive,1126 SE Marine Dr,3.7,926
White Spot Sweden Way,12800 Bridgeport Rd #120,3.9,1026
White Spot Park & Tilford,333 Brooksbank Ave #1100,4.0,702
White Spot Marine & Byrne,7519 Market Crossing,4.1,1148
White Spot Lonsdale,2205 Lonsdale Ave,3.8,648
White Spot Granville & Drake,718 Drake St,3.6,353
White Spot Panorama,116-15157 BC-10,3.9,749
White Spot (Coast Hotel),1041 SW Marine Dr,3.6,484
White Spot Dunsmuir,405 Dunsmuir St,4.2,1268
White Spot Maple Ridge,20855 Lougheed Hwy,4.0,837
White Spot Langley,19651 Fraser Hwy,4.0,1215
White Spot Kerrisdale,5367 West Blvd,3.8,585
White Spot Park & Tilford,333 Brooksbank Ave #1100,4.0,702
White Spot Pemberton Plaza,1226 Marine Dr #107,3.9,451
White Spot Cardero,1616 W Georgia St,4.0,1162
White Spot Ackroyd,5880 No. 3 Rd,3.8,1084
White Spot Dunsmuir,405 Dunsmuir St,4.2,1268
White Spot Morgan Crossing,15877 Croydon Dr,4.1,594
White Spot Marine & Byrne,7519 Market Crossing,4.1,1148
White Spot Oakridge,613 650 W 41st Ave A,3.9,817
White Spot Scott & 72nd,7207 120 St,4.0,1369
White Spot White Rock,1681 152 St,4.0,528
White Spot Tsawwassen,1199 56 St,4.1,678
White Spot Aldergrove,3070 264 St,4.0,625
White Spot Ltd. Home Office,8223 Sherbrooke St #200,4.0,2
White Spot Mission,32555 London Ave #152,3.6,475
White Spot Abbotsford,33215 S Fraser Way,4.0,1003
White Spot Whatcom,36035 N Parallel Rd,4.1,710
